cycle,mean,median,max,min,std
49,60.74,60.35,76.20,43.33,8.30
50,59.71,60.37,66.23,51.17,4.47
51,58.38,58.16,67.17,49.00,5.30
52,57.69,58.52,72.00,47.60,7.22
53,60.46,62.15,74.67,45.91,8.92
54,62.77,61.64,72.65,56.07,5.02
55,60.66,60.44,70.88,52.97,5.94
56,57.04,57.86,72.89,41.00,7.79
57,60.05,61.76,65.71,48.00,5.26
58,61.60,62.00,71.59,51.54,5.95
59,59.55,60.14,70.25,46.09,8.00
60,59.03,56.53,69.13,52.31,6.04
61,60.26,60.15,71.93,51.32,5.93
62,62.64,63.98,71.26,52.51,6.07
63,63.66,64.25,70.19,52.79,5.03
64,60.17,60.37,76.87,47.45,7.21
65,58.17,60.00,67.27,46.45,7.53
66,59.47,58.35,73.15,52.95,6.28
67,61.36,61.96,72.00,48.00,7.02
68,60.46,60.81,69.42,52.00,5.51
69,59.67,59.71,69.27,47.13,6.09
70,59.04,58.84,68.84,48.13,6.23
71,60.93,58.23,77.50,47.50,8.87
72,61.80,61.72,71.53,53.39,4.97
73,59.02,59.20,68.13,48.29,6.44
74,57.63,57.68,72.13,49.26,5.96
75,60.28,60.50,69.42,50.44,5.88
76,62.40,61.75,69.70,54.06,5.19
77,58.17,58.75,69.95,46.94,6.93
78,60.44,61.17,72.00,45.90,7.38
79,60.27,62.33,70.94,44.00,7.59
80,58.68,59.84,70.33,45.71,8.03
81,59.18,55.92,71.50,51.08,6.46
82,61.15,62.22,68.88,49.64,5.94
83,58.69,57.59,70.42,50.74,6.48
84,60.42,61.08,66.81,55.94,3.53
85,61.82,63.73,73.20,45.60,8.59
86,62.98,64.60,76.09,46.14,8.34
87,60.62,60.20,74.64,45.83,8.30
88,57.14,57.25,66.70,48.23,5.72
89,60.41,59.37,71.50,48.57,6.24
90,62.30,60.30,75.56,54.10,6.23
91,59.73,59.56,79.00,43.00,10.40
92,62.55,61.55,76.00,55.50,6.20
93,60.03,60.42,67.57,48.45,5.24
94,61.17,60.35,77.12,48.38,7.47
95,62.08,61.45,70.72,56.43,4.36
96,60.52,61.74,74.14,48.89,7.44
97,59.44,59.22,73.08,50.90,6.74
98,59.00,59.19,69.34,47.50,6.41
99,60.66,61.38,71.81,49.89,7.38
100,56.97,56.99,65.25,45.83,6.43
101,59.20,58.08,70.85,53.10,5.22
102,62.31,63.81,70.00,53.20,6.36
103,62.20,61.40,73.13,52.55,5.47
104,58.03,58.14,70.30,49.44,6.34
105,59.30,59.27,69.90,46.11,6.95
106,60.74,60.50,67.40,56.27,3.51
107,58.41,59.56,65.63,49.84,4.85
108,55.86,57.98,63.92,46.18,5.92
109,60.17,59.95,68.20,52.67,4.29
110,60.14,60.17,65.00,54.18,3.37
111,63.77,64.25,75.30,50.94,6.86
112,58.22,58.46,68.32,43.88,8.11
113,60.26,60.23,72.50,50.00,6.51
114,60.87,61.09,70.54,53.24,5.48
115,60.59,59.70,70.59,53.11,5.54
116,59.44,59.60,66.87,52.18,5.22
117,64.14,62.88,74.67,59.29,4.62
118,63.76,63.52,77.86,49.54,7.00
119,62.76,64.75,69.33,49.00,6.85
120,60.68,60.99,66.05,51.30,4.11
121,60.07,58.90,71.36,49.25,8.58
122,58.95,57.74,71.30,51.67,6.21
123,59.55,58.94,67.23,51.10,4.52
124,59.45,58.40,74.20,48.00,8.13
125,57.85,58.45,65.33,47.48,4.91
126,62.55,62.20,76.17,54.59,5.80
127,61.96,63.00,70.88,48.46,6.34
128,61.95,59.20,73.38,54.75,6.38
129,61.97,61.50,70.93,51.25,6.75
130,62.05,62.56,68.48,50.00,5.29
